最近的美術館距離,最近的美術館,最近的公車站距離,最近的公車站,最近的便利商店距離,最近的便利商店,最近的百貨公司距離,最近的百貨公司,最近的交流道距離,最近的交流道,最近的高鐵站距離,最近的高鐵站,最近的圖書館距離,最近的圖書館,最近的超市距離,最近的超市,最近的電影院距離,最近的電影院,最近的捷運站距離,最近的捷運站,最近的博物館距離,最近的博物館,最近的夜市距離,最近的夜市,最近的學校距離,最近的學校,最近的商圈距離,最近的商圈,最近的菜市場距離,最近的菜市場,最近的火車站距離,最近的火車站
7760,桃園市立兒童美術館,9016,桃園公車站,6764,全家便利(八德瑞祥店),4031,遠東SOGO 中壢店,15272,交流道,6998,高鐵桃園站,9446,桃園市立圖書館 總館,11156,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11107,桃園統領威秀影城,3513,中壢火車站,11318,大溪木藝生態博物館,4501,八德興仁花園夜市,9626,桃園市私立康萊爾雙語中小學,3678,中平商圈徒步區,4716,內壢菜市場,3513,中壢火車站
7430,桃園市立兒童美術館,9164,桃園公車站,7108,全家便利(八德瑞祥店),3623,遠東SOGO 中壢店,15841,交流道,6591,高鐵桃園站,9594,桃園市立圖書館 總館,11304,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10712,桃園統領威秀影城,3105,中壢火車站,11662,大溪木藝生態博物館,4845,八德興仁花園夜市,9774,桃園市私立康萊爾雙語中小學,3348,中平商圈徒步區,4838,內壢菜市場,3105,中壢火車站
17330,桃園市立兒童美術館,14034,桃園公車站,12374,全家便利商店 桃園榮運店,2240,GLORIA OUTLETS華泰名品城,8643,大園交流道,5240,高鐵桃園站,14337,桃園市立圖書館 總館,14450,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,15838,桃園統領威秀影城,1269,桃園,13329,國立歷史博物館桃園二期Ｃ站分部,13062,八德興仁花園夜市,13583,桃園市私立康萊爾雙語中小學,6230,中平商圈徒步區,13332,南崁菜市場,1269,桃園
8679,桃園市立兒童美術館,8080,桃園公車站,9424,全家便利(八德瑞祥店),1030,遠東SOGO 中壢店,14474,交流道,4077,高鐵桃園站,8510,桃園市立圖書館 總館,13857,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,9628,桃園統領威秀影城,1068,中壢火車站,13978,大溪木藝生態博物館,7161,八德興仁花園夜市,13325,桃園市私立康萊爾雙語中小學,1313,中平商圈徒步區,13409,南崁菜市場,1068,中壢火車站
9275,桃園市立兒童美術館,8676,桃園公車站,10435,全家便利(八德瑞祥店),449,遠東SOGO 中壢店,13827,交流道,3430,高鐵桃園站,9106,桃園市立圖書館 總館,14191,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10224,桃園統領威秀影城,981,A21 環北站,18109,大溪木藝生態博物館,8172,八德興仁花園夜市,13660,桃園市私立康萊爾雙語中小學,1189,中平商圈徒步區,13743,南崁菜市場,981,A21 環北站
18586,桃園市立兒童美術館,4807,高鐵桃園站,13630,全家便利商店 桃園榮運店,2944,GLORIA OUTLETS華泰名品城,6542,大園交流道,4807,高鐵桃園站,15594,桃園市立圖書館 總館,15706,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,13148,美麗新台茂影城,1713,桃園體育園區,12009,國立歷史博物館桃園二期Ｃ站分部,13848,八德興仁花園夜市,14840,桃園市私立康萊爾雙語中小學,6995,中平商圈徒步區,14589,南崁菜市場,1713,桃園體育園區
17209,桃園市立兒童美術館,8346,桃園客運公車總站,12253,全家便利商店 桃園榮運店,1567,GLORIA OUTLETS華泰名品城,6838,大園交流道,5983,高鐵桃園站,14217,桃園市立圖書館 總館,14329,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10513,美麗新台茂影城,1870,"機場捷運A18高鐵桃園站(這是機場捷運,不要打錯電話）",10485,國立歷史博物館桃園二期Ｃ站分部,24419,八德興仁花園夜市,13463,桃園市私立康萊爾雙語中小學,8172,中平商圈徒步區,13212,南崁菜市場,1858,"機場捷運A18高鐵桃園站(這是機場捷運,不要打錯電話）"
8614,桃園市立兒童美術館,8016,桃園公車站,9360,全家便利(八德瑞祥店),1094,遠東SOGO 中壢店,14410,交流道,4012,高鐵桃園站,8446,桃園市立圖書館 總館,13793,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,9564,桃園統領威秀影城,1132,中壢火車站,13914,大溪木藝生態博物館,7097,八德興仁花園夜市,13261,桃園市私立康萊爾雙語中小學,1377,中平商圈徒步區,13345,南崁菜市場,1132,中壢火車站
17996,桃園市立兒童美術館,8218,桃園客運公車總站,13040,全家便利商店 桃園榮運店,2354,GLORIA OUTLETS華泰名品城,6230,大園交流道,5855,高鐵桃園站,15004,桃園市立圖書館 總館,15116,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11300,美麗新台茂影城,2087,"機場捷運A18高鐵桃園站(這是機場捷運,不要打錯電話）",11272,國立歷史博物館桃園二期Ｃ站分部,14896,八德興仁花園夜市,14250,桃園市私立康萊爾雙語中小學,8044,中平商圈徒步區,13999,南崁菜市場,2087,"機場捷運A18高鐵桃園站(這是機場捷運,不要打錯電話）"
17739,桃園市立兒童美術館,5067,高鐵桃園站,12783,全家便利商店 桃園榮運店,2465,GLORIA OUTLETS華泰名品城,7182,大園交流道,5067,高鐵桃園站,14747,桃園市立圖書館 總館,14859,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11043,美麗新台茂影城,1527,桃園體育園區,13738,國立歷史博物館桃園二期Ｃ站分部,14107,八德興仁花園夜市,13993,桃園市私立康萊爾雙語中小學,7255,中平商圈徒步區,13742,南崁菜市場,1527,桃園體育園區
