鄉鎮市區,交易標的,土地位置建物門牌,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位移轉總面積(平方公尺),車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,Lat,Lng
中壢區,房地(土地+建物),桃園市中壢區後興路一段９０巷３８號六樓,住,1101031,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,11.81,88.21,2,2,1,有,有,4580000,51922,0,0,57.53,0,6.35,有,24.9421623,121.2475943
中壢區,房地(土地+建物),桃園市中壢區金鋒五街５７號四樓,住,1110315,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,19.18,111.93,3,2,2,有,有,4800000,42884,0,0,83.02,2.69,9.14,有,24.9461377,121.2494134
中壢區,房地(土地+建物)+車位,桃園市中壢區青商路２０號五樓,住,1110316,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,32.78,209.92,3,2,2,有,有,18400000,90958,24.12,1500000,101.93,9.67,9.38,有,25.0049754,121.2167935
中壢區,房地(土地+建物),桃園市中壢區溪洲三街６３號四樓,住,1110313,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,27.81,84.72,3,2,2,有,無,4860000,57365,0,0,84.72,0,0,無,24.9606829,121.2306245
中壢區,房地(土地+建物)+車位,桃園市中壢區慈惠三街１５７巷１１號十四樓,住,1110307,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,26.5,209.84,4,2,2,有,有,11770000,56093,0,0,158.54,0.79,18.71,有,24.9641268,121.2251297
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段８９號七樓,住,1110320,土地1建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,42.76,258.38,4,2,3,有,有,22600000,87468,0,0,124.17,12.04,11.91,有,25.0084791,121.202825
中壢區,房地(土地+建物)+車位,桃園市中壢區春德路２９３號十五樓,商,1110401,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,15.14,130.29,2,1,1,有,有,11500000,88265,34.16,0,54.07,1.97,6.73,有,25.0143048,121.2111324
中壢區,房地(土地+建物),桃園市中壢區溪洲三街７６號九樓之２,住,1110320,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,13.5,83.03,4,3,2,有,有,5900000,71059,0,0,56.52,0.87,6.85,有,24.960716,121.2313207
中壢區,房地(土地+建物)+車位,桃園市中壢區永昌路１３５號十五樓,住,1110305,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,13.8,111.48,2,2,1,有,有,11300000,101363,34.53,0,44.01,2,4.62,有,25.0159042,121.2082055
中壢區,房地(土地+建物)+車位,桃園市中壢區洽溪路２２５號十四樓,住,1101124,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,19.33,134.55,1,1,1,有,有,12580000,93497,46.15,0,52.41,0,5.18,有,25.0085423,121.2067194
